#Tahun	Net_Asli	Net_Regresi
1960	0.00	-11.98
1961	0.00	-11.32
1962	0.00	-10.66
1963	0.00	-10.01
1964	0.00	-9.35
1965	0.00	-8.69
1966	0.00	-8.03
1967	0.00	-7.38
1968	0.00	-6.72
1969	0.00	-6.06
1970	0.00	-5.41
1971	0.00	-4.75
1972	0.00	-4.09
1973	0.00	-3.44
1974	0.00	-2.78
1975	0.00	-2.12
1976	0.00	-1.47
1977	0.00	-0.81
1978	0.00	-0.15
1979	0.00	0.50
1980	0.00	1.16
1981	0.00	1.82
1982	0.00	2.47
1983	0.00	3.13
1984	0.00	3.79
1985	0.00	4.44
1986	0.00	5.10
1987	0.00	5.76
1988	0.00	6.42
1989	0.00	7.07
1990	0.00	7.73
1991	0.00	8.39
1992	0.00	9.04
1993	0.00	9.70
1994	0.00	10.36
1995	0.03	11.01
1996	0.06	11.67
1997	0.19	12.33
1998	0.26	12.98
1999	0.44	13.64
2000	0.93	14.30
2001	2.02	14.95
2002	2.13	15.61
2003	2.39	16.27
2004	2.60	16.92
2005	3.66	17.58
2006	4.72	18.24
2007	5.79	18.89
2008	7.92	19.55
2009	6.92	20.21
2010	10.92	20.87
2011	12.28	21.52
2012	14.52	22.18
2013	14.94	22.84
2014	17.14	23.49
2015	22.21	24.15
2016	27.27	24.81
2017	32.34	25.46
2018	39.90	26.12
2019	47.69	26.78
2020	53.73	27.43
2021	62.10	28.09
2022	66.48	28.75
2023	69.21	29.40
