#Tahun	Y_Asli	Y_Internet_Regresi	Y_Populasi_Regresi	Y_Interpolasi
1960	0.00	-11.98	87.17	1.#R
1961	0.00	-11.32	89.91	1.#R
1962	0.00	-10.66	92.70	1.#R
1963	0.00	-10.01	95.54	1.#R
1964	0.00	-9.35	98.41	1.#R
1965	0.00	-8.69	101.33	1.#R
1966	0.00	-8.03	104.30	1.#R
1967	0.00	-7.38	107.29	1.#R
1968	0.00	-6.72	110.33	1.#R
1969	0.00	-6.06	113.40	1.#R
1970	0.00	-5.41	116.51	1.#R
1971	0.00	-4.75	119.64	1.#R
1972	0.00	-4.09	122.81	1.#R
1973	0.00	-3.44	126.00	1.#R
1974	0.00	-2.78	129.22	1.#R
1975	0.00	-2.12	132.46	1.#R
1976	0.00	-1.47	135.73	1.#R
1977	0.00	-0.81	139.01	1.#R
1978	0.00	-0.15	142.32	1.#R
1979	0.00	0.50	145.64	1.#R
1980	0.00	1.16	148.98	1.#R
1981	0.00	1.82	152.33	1.#R
1982	0.00	2.47	155.69	1.#R
1983	0.00	3.13	159.06	1.#R
1984	0.00	3.79	162.44	1.#R
1985	0.00	4.44	165.82	1.#R
1986	0.00	5.10	169.21	1.#R
1987	0.00	5.76	172.61	1.#R
1988	0.00	6.42	176.00	1.#R
1989	0.00	7.07	179.39	1.#R
1990	0.00	7.73	182.78	1.#R
1991	0.00	8.39	186.17	1.#R
1992	0.00	9.04	189.54	1.#R
1993	0.00	9.70	192.91	1.#R
1994	0.00	10.36	196.27	1.#R
1995	0.03	11.01	199.62	1.#R
1996	0.06	11.67	202.96	1.#R
1997	0.19	12.33	206.28	1.#R
1998	0.26	12.98	209.58	1.#R
1999	0.44	13.64	212.86	1.#R
2000	0.93	14.30	216.12	1.#R
2001	2.02	14.95	219.36	1.#R
2002	2.13	15.61	222.58	1.#R
2003	2.39	16.27	225.77	1.#R
2004	2.60	16.92	228.93	1.#R
2005	3.66	17.58	232.06	3.66
2006	4.72	18.24	235.16	4.72
2007	5.79	18.89	238.22	1.#R
2008	7.92	19.55	241.25	1.#R
2009	6.92	20.21	244.25	1.#R
2010	10.92	20.87	247.20	1.#R
2011	12.28	21.52	250.12	1.#R
2012	14.52	22.18	252.99	1.#R
2013	14.94	22.84	255.82	1.#R
2014	17.14	23.49	258.60	1.#R
2015	22.21	24.15	261.33	22.21
2016	27.27	24.81	264.02	27.27
2017	32.34	25.46	266.65	1.#R
2018	39.90	26.12	269.23	1.#R
2019	47.69	26.78	271.76	1.#R
2020	53.73	27.43	274.22	1.#R
2021	62.10	28.09	276.63	1.#R
2022	66.48	28.75	278.98	1.#R
2023	69.21	29.40	281.27	1.#R
