#Tahun	Pop_Asli	Pop_Regresi
1960	88.30	87.17
1961	90.79	89.91
1962	93.38	92.70
1963	96.05	95.54
1964	98.83	98.41
1965	101.37	101.33
1966	103.79	104.30
1967	106.53	107.29
1968	109.45	110.33
1969	112.52	113.40
1970	115.66	116.51
1971	118.83	119.64
1972	122.04	122.81
1973	125.29	126.00
1974	128.56	129.22
1975	131.84	132.46
1976	135.17	135.73
1977	138.53	139.01
1978	141.95	142.32
1979	145.43	145.64
1980	148.95	148.98
1981	152.49	152.33
1982	156.05	155.69
1983	159.65	159.06
1984	163.25	162.44
1985	166.78	165.82
1986	170.18	169.21
1987	173.51	172.61
1988	176.86	176.00
1989	180.20	179.39
1990	183.50	182.78
1991	186.78	186.17
1992	190.04	189.54
1993	193.31	192.91
1994	196.59	196.27
1995	199.89	199.62
1996	203.20	202.96
1997	206.54	206.28
1998	209.83	209.58
1999	213.00	212.86
2000	216.08	216.12
2001	219.10	219.36
2002	222.09	222.58
2003	225.05	225.77
2004	227.93	228.93
2005	230.97	232.06
2006	234.02	235.16
2007	237.06	238.22
2008	240.16	241.25
2009	243.22	244.25
2010	246.31	247.20
2011	249.47	250.12
2012	252.70	252.99
2013	255.85	255.82
2014	258.88	258.60
2015	261.70	261.33
2016	264.52	264.02
2017	267.35	266.65
2018	269.95	269.23
2019	272.49	271.76
2020	274.81	274.22
2021	276.76	276.63
2022	278.83	278.98
2023	281.19	281.27
